id,Team,City,touchdowns_rank,ticket_rank,precipitation_rank,beer_rank,mcd_rank,pollution_rank,sum_of_ranks,total_rank
30,Ottawa Redblacks,Ottawa,19.0,6.0,13.0,27.0,29.0,1.0,95.0,7.0
14,Green Bay Packers,Green Bay,25.0,39.0,12.0,2.0,4.0,2.0,84.0,5.0
2,BC Lions,Vancouver,29.0,5.0,31.0,29.0,28.0,3.0,125.0,21.0
23,Minnesota Vikings,Minneapolis,24.0,24.0,15.0,30.0,6.0,4.0,103.0,10.0
5,Calgary Stampeders,Calgary,6.0,9.0,3.0,28.0,31.0,5.0,82.0,4.0
25,New England Patriots,Foxborough,4.0,41.0,34.0,39.0,38.0,6.0,162.0,37.0
6,Carolina Panthers,Charlotte,16.0,16.0,32.0,21.0,1.0,7.0,93.0,6.0
35,Seattle Seahawks,Seattle,9.0,36.0,18.0,32.0,36.0,8.0,139.0,29.0
13,Edmonton Eskimos,Edmonton,12.0,2.0,4.0,16.0,5.0,9.0,48.0,1.0
4,Buffalo Bills,Orchard Park,36.0,10.0,25.0,8.0,14.0,10.0,103.0,11.0
36,Tampa Bay Buccaneers,Tampa,15.0,19.0,30.0,5.0,34.0,11.0,114.0,14.0
18,Jacksonville Jaguars,Jacksonville,41.0,12.0,40.0,9.0,13.0,12.0,127.0,22.0
24,Montreal Alouettes,Montreal,38.0,4.0,16.0,15.0,30.0,13.0,116.0,16.0
19,Kansas City Chiefs,Kansas City,1.0,28.0,22.0,25.0,8.0,14.0,98.0,8.0
29,Oakland Raiders,Oakland,35.0,29.0,10.0,31.0,35.0,15.0,155.0,33.0
9,Cleveland Browns,Cleveland,20.0,30.0,21.0,11.0,16.0,16.0,114.0,15.0
40,Winnipeg Blue Bombers,Winnipeg,8.0,7.0,8.0,3.0,19.0,17.0,62.0,2.0
33,San Francisco 49ers,Santa Clara,31.0,23.0,9.0,38.0,40.0,18.0,159.0,35.0
38,Toronto Argonauts,Toronto,30.0,1.0,11.0,37.0,33.0,19.0,131.0,25.0
39,Washington Redskins,Landover,37.0,32.0,24.0,33.0,37.0,20.0,183.0,38.0
37,Tennessee Titans,Nashville,34.0,22.0,33.0,20.0,9.0,21.0,139.0,30.0
11,Denver Broncos,Denver,27.0,37.0,5.0,23.0,25.0,22.0,139.0,31.0
8,Cincinnati Bengals,Cincinnati,18.0,17.0,28.0,7.0,15.0,23.0,108.0,12.0
22,Miami Dolphins,Miami Gardens,28.0,27.0,39.0,35.0,32.0,24.0,185.0,39.0
34,Saskatchewan Roughriders,Regina,40.0,8.0,2.0,18.0,17.0,25.0,110.0,13.0
10,Dallas Cowboys,Arlington,23.0,31.0,23.0,14.0,20.0,26.0,137.0,27.0
7,Chicago Bears,Chicago,13.0,40.0,20.0,26.0,7.0,27.0,133.0,26.0
17,Indianapolis Colts,Indianapolis,5.0,11.0,29.0,6.0,2.0,28.0,81.0,3.0
32,Pittsburgh Steelers,Pittsburgh,11.0,34.0,19.0,10.0,18.0,29.0,121.0,18.0
1,Atlanta Falcons,Atlanta,14.0,20.0,36.0,17.0,10.0,30.0,127.0,23.0
3,Baltimore Ravens,Baltimore,22.0,21.0,26.0,24.0,3.0,31.0,127.0,24.0
26,New Orleans Saints,New Orleans,3.0,38.0,41.0,12.0,11.0,32.0,137.0,28.0
31,Philadelphia Eagles,Philadelphia,17.0,35.0,27.0,22.0,24.0,33.0,158.0,34.0
15,Hamilton Tiger-Cats,Hamilton,10.0,3.0,14.0,13.0,27.0,34.0,101.0,9.0
12,Detroit Lions,Detroit,32.0,26.0,17.0,1.0,12.0,35.0,123.0,19.0
28,New York Jets,East Rutherford,33.0,18.0,37.0,40.0,39.0,36.0,203.0,41.0
27,New York Giants,East Rutherford,26.0,14.0,38.0,41.0,41.0,37.0,197.0,40.0
16,Houston Texans,Houston,21.0,25.0,35.0,19.0,22.0,38.0,160.0,36.0
0,Arizona Cardinals,Glendale,39.0,15.0,1.0,4.0,26.0,39.0,124.0,20.0
21,Los Angeles Rams,Los Angeles,2.0,13.0,6.0,34.0,23.0,40.0,118.0,17.0
20,Los Angeles Chargers,Carson,7.0,33.0,7.0,36.0,21.0,41.0,145.0,32.0
